real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.species.eu.score,bt.species.ieu.score,bt.species.cos.score,reference,species.cos,hits.cos,species.eu,hits.eu,species.ieu,hits.ieu
Coscinodiscus _granii,ID00742,ID00730,0.399224283,ID00726,0.598560023,ID00726,0.846385331,0.79,0.944,0.71,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00743,ID00741,0.373952506,ID00744,0.605724216,ID00744,0.881520326,0.998,1,0.782,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00744,ID00743,0.369441455,ID00743,0.605724216,ID00743,0.881520326,0.994,0.868,0.642,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00745,ID00736,0.311050488,ID00718,0.622212987,ID00718,0.948505152,1,1,0.77,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00746,ID00737,0.406584814,ID00737,0.634823016,ID00740,0.930519254,1,1,0.678,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00714,ID00771,0.272182162,ID00474,0.499694688,ID00764,0.911152775,0.818,0.676,0.502,granii,wailesii,FALSE,wailesii,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00715,ID00717,0.45534794,ID00717,0.67801861,ID00718,0.963399095,0.99,0.99,0.662,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00716,ID00715,0.371918481,ID00720,0.630559234,ID00721,0.903149461,0.998,1,0.66,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00717,ID00718,0.45838159,ID00718,0.719286999,ID00718,0.969479589,0.822,0.998,0.7,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00718,ID00717,0.45838159,ID00717,0.719286999,ID00717,0.969479589,0.992,0.862,0.578,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00719,ID00478,0.465331607,ID00478,0.685117696,ID00722,0.937876351,0.994,0.776,0.532,granii,granii,TRUE,radiatus,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00720,ID00716,0.366163293,ID00716,0.630559234,ID00715,0.925378538,0.926,0.922,0.746,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00721,ID00734,0.278357321,ID00716,0.577951923,ID00716,0.903149461,0.994,1,0.91,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00722,ID00725,0.386711521,ID00719,0.648247884,ID00719,0.937876351,0.954,0.988,0.888,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00723,ID00766,0.398470504,ID00476,0.602191124,ID00476,0.920877139,0.374,0.926,0.386,granii,radiatus,FALSE,wailesii,FALSE,radiatus,FALSE
Coscinodiscus _granii,ID00724,ID00452,0.351851424,ID00720,0.615752892,ID00720,0.903782238,0.934,0.87,0.632,granii,granii,TRUE,diadema,FALSE,granii,TRUE
Coscinodiscus _granii,ID00725,ID00726,0.469307017,ID00726,0.706221925,ID00726,0.943073631,1,1,0.842,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00726,ID00725,0.469307017,ID00725,0.706221925,ID00725,0.943073631,1,0.994,0.672,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00727,ID00728,0.444781561,ID00728,0.646849187,ID00730,0.924686514,1,0.996,0.904,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00728,ID00727,0.444781561,ID00730,0.666335627,ID00730,0.941609468,1,1,0.964,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00729,ID00725,0.427670831,ID00479,0.637128594,ID00479,0.891689188,0.946,0.498,0.482,granii,radiatus,FALSE,granii,TRUE,radiatus,FALSE
Coscinodiscus _granii,ID00730,ID00727,0.433186808,ID00728,0.666335627,ID00728,0.941609468,1,1,0.966,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00731,ID00730,0.409227775,ID00485,0.624233185,ID00485,0.845721491,0.81,0.982,0.748,granii,radiatus,FALSE,granii,TRUE,radiatus,FALSE
Coscinodiscus _granii,ID00732,ID00733,0.395959052,ID00733,0.689609095,ID00733,0.948838851,1,0.998,0.68,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _granii,ID00733,ID00732,0.395959052,ID00732,0.689609095,ID00732,0.948838851,1,1,0.558,granii,granii,TRUE,granii,TRUE,granii,TRUE
Coscinodiscus _radiatus,ID00017,ID00048,0.370666781,ID00018,0.630041094,ID00018,0.914872181,1,0.58,0.426,radiatus,radiatus,TRUE,granii,FALSE,radiatus,TRUE
Coscinodiscus _radiatus,ID00018,ID00019,0.302244968,ID00049,0.674729051,ID00049,0.952326824,0.614,0.838,0.502,radiatus,granii,FALSE,radiatus,TRUE,granii,FALSE
Coscinodiscus _radiatus,ID00019,ID00020,0.400599635,ID00049,0.738316979,ID00049,0.970077818,0.942,0.778,0.368,radiatus,granii,FALSE,radiatus,TRUE,granii,FALSE
Coscinodiscus _radiatus,ID00020,ID00019,0.400599635,ID00019,0.714729991,ID00019,0.958119293,1,1,0.6,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00473,ID00474,0.539306061,ID00474,0.751018802,ID00474,0.984159923,1,0.998,0.56,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00474,ID00473,0.539306061,ID00473,0.751018802,ID00473,0.984159923,1,1,0.564,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00475,ID00476,0.544422437,ID00476,0.739477976,ID00476,0.962246287,1,1,0.744,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00476,ID00475,0.544422437,ID00475,0.739477976,ID00475,0.962246287,1,0.992,0.744,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00477,ID00476,0.491969987,ID00476,0.689423588,ID00476,0.924995006,1,0.938,0.74,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00478,ID00479,0.475885209,ID00479,0.743961043,ID00479,0.959610458,0.726,0.986,0.754,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00479,ID00478,0.475885209,ID00478,0.743961043,ID00478,0.959610458,0.93,0.988,0.596,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00480,ID00482,0.412475419,ID00482,0.603608241,ID00477,0.888312441,1,0.524,0.69,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00481,ID00485,0.452946727,ID00486,0.595286385,ID00731,0.837046731,0.996,0.582,0.344,radiatus,granii,FALSE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00482,ID00484,0.424782858,ID00484,0.670478965,ID00484,0.948382459,0.992,0.998,0.968,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00483,ID00450,0.361328683,ID00485,0.589613725,ID00480,0.846941641,0.436,0.962,0.816,radiatus,radiatus,TRUE,diadema,FALSE,radiatus,TRUE
Coscinodiscus _radiatus,ID00484,ID00482,0.424782858,ID00482,0.670478965,ID00482,0.948382459,1,1,0.958,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00485,ID00486,0.46359378,ID00486,0.672743265,ID00486,0.913105489,1,0.9,0.744,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _radiatus,ID00486,ID00485,0.46359378,ID00485,0.672743265,ID00485,0.913105489,1,0.998,0.892,radiatus,radiatus,TRUE,radiatus,TRUE,radiatus,TRUE
Coscinodiscus _wailesii,ID00004,ID00481,0.355119261,ID00481,0.514609031,ID00481,0.80764191,0.944,0.806,0.64,wailesii,radiatus,FALSE,radiatus,FALSE,radiatus,FALSE
Coscinodiscus _wailesii,ID00005,ID00004,0.313197019,ID00007,0.453990721,ID00007,0.835058619,0.762,0.724,0.604,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00006,ID00762,0.33590596,ID00007,0.450620944,ID00005,0.718220476,0.996,0.786,0.642,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00007,ID00004,0.290240105,ID00005,0.453990721,ID00005,0.835058619,0.884,0.75,0.832,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00762,ID00477,0.42250554,ID00477,0.638733044,ID00476,0.903339773,0.902,0.878,0.314,wailesii,radiatus,FALSE,radiatus,FALSE,radiatus,FALSE
Coscinodiscus _wailesii,ID00763,ID00764,0.633669517,ID00764,0.768260236,ID00764,0.974393169,1,1,0.924,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00764,ID00763,0.633669517,ID00763,0.768260236,ID00763,0.974393169,1,1,0.736,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00765,ID00766,0.439831121,ID00766,0.701989593,ID00766,0.934141608,1,1,0.882,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00766,ID00769,0.484551318,ID00765,0.701989593,ID00765,0.934141608,1,1,0.914,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00767,ID00768,0.619251082,ID00768,0.776172862,ID00768,0.96535071,1,1,0.968,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00768,ID00767,0.619251082,ID00767,0.776172862,ID00767,0.96535071,1,1,0.992,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00769,ID00766,0.484551318,ID00770,0.655004768,ID00770,0.929157789,1,0.93,0.896,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
