"","real.identity","ID","sample.eu","sample.eu.val","sample.ieu","sample.ieu.val","sample.cos","sample.cos.val","bt.species.eu.score","bt.species.ieu.score","bt.species.cos.score","reference","species.cos","hits.cos","species.eu","hits.eu","species.ieu","hits.ieu"
"38","Chaetoceros_didymus","ID00081","ID00082",0.366473678876646,"ID00082",0.692733768142007,"ID00247",0.924416681162655,0.634,0.99,0.378,"didymus","cf.wighamii",FALSE,"didymus",TRUE,"didymus",TRUE
"39","Chaetoceros_didymus","ID00082","ID00081",0.366473678876646,"ID00081",0.692733768142007,"ID00081",0.91047248918459,1,1,0.706,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"40","Chaetoceros_didymus","ID00083","ID00082",0.277182346160003,"ID00085",0.548170628829913,"ID00085",0.938202851407249,0.74,0.842,0.708,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"41","Chaetoceros_didymus","ID00084","ID00085",0.417858388803606,"ID00085",0.720990629057831,"ID00085",0.980319055032597,1,1,0.788,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"42","Chaetoceros_didymus","ID00085","ID00084",0.417858388803606,"ID00084",0.720990629057831,"ID00084",0.980319055032597,1,1,0.77,"didymus","didymus",TRUE,"didymus",TRUE,"didymus",TRUE
"43","Coscinodiscus _granii","ID00048","ID00017",0.370666781450928,"ID00017",0.613278318921326,"ID00017",0.8986349147788,0.98,0.988,0.536,"granii","radiatus",FALSE,"radiatus",FALSE,"radiatus",FALSE
"44","Coscinodiscus _granii","ID00049","ID00019",0.349764006311599,"ID00019",0.738316979431146,"ID00019",0.970077818314008,0.978,1,0.854,"granii","radiatus",FALSE,"radiatus",FALSE,"radiatus",FALSE
"45","Coscinodiscus _granii","ID00050","ID00420",0.289027829546028,"ID00020",0.51416120110637,"ID00020",0.784313015023725,0.888,0.366,0.47,"granii","radiatus",FALSE,"punctigera",FALSE,"radiatus",FALSE
"46","Coscinodiscus _granii","ID00044","ID00046",0.410682130986423,"ID00046",0.573635505911042,"ID00045",0.951351628417024,0.746,0.818,0.638,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"47","Coscinodiscus _granii","ID00045","ID00771",0.417513029635926,"ID00047",0.694595481595861,"ID00047",0.957548165740685,0.864,1,0.75,"granii","granii",TRUE,"wailesii",FALSE,"granii",TRUE
"48","Coscinodiscus _granii","ID00046","ID00047",0.621008915229809,"ID00047",0.820768659247673,"ID00047",0.993512512179365,1,1,0.686,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"49","Coscinodiscus _granii","ID00047","ID00046",0.621008915229809,"ID00046",0.820768659247673,"ID00046",0.993512512179365,1,1,0.688,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"50","Coscinodiscus _granii","ID00734","ID00721",0.278357320979949,"ID00716",0.521389941116433,"ID00716",0.786879052350078,0.754,0.768,0.592,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"51","Coscinodiscus _granii","ID00735","ID00715",0.347068056708231,"ID00718",0.655577121312639,"ID00718",0.965366598337593,1,0.72,0.422,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"52","Coscinodiscus _granii","ID00736","ID00720",0.340455902878186,"ID00717",0.636809194536014,"ID00718",0.94988538297386,0.976,0.956,0.614,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"53","Coscinodiscus _granii","ID00737","ID00738",0.473014906009902,"ID00476",0.64783773008649,"ID00476",0.924854916009321,1,0.37,0.44,"granii","radiatus",FALSE,"granii",TRUE,"radiatus",FALSE
"54","Coscinodiscus _granii","ID00738","ID00737",0.473014906009902,"ID00740",0.646191973341371,"ID00740",0.949563356657874,1,0.878,0.43,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"55","Coscinodiscus _granii","ID00739","ID00737",0.443143771846297,"ID00740",0.65459804844403,"ID00740",0.933634374779543,1,1,0.578,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"56","Coscinodiscus _granii","ID00740","ID00739",0.439830924684177,"ID00739",0.65459804844403,"ID00738",0.949563356657874,1,1,0.44,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
